,subject,side,exercise,label,frame,forearm_angle
0,01,right,m07,Correct,0,63.27829
1,01,right,m07,Correct,1,62.92856
2,01,right,m07,Correct,2,62.47086
3,01,right,m07,Correct,3,62.47903
4,01,right,m07,Correct,4,62.3262
5,01,right,m07,Correct,5,62.65588
6,01,right,m07,Correct,6,62.69703
7,01,right,m07,Correct,7,62.71182
8,01,right,m07,Correct,8,62.1904
9,01,right,m07,Correct,9,61.92323
10,01,right,m07,Correct,10,61.86138
11,01,right,m07,Correct,11,61.87044
12,01,right,m07,Correct,12,61.69893
13,01,right,m07,Correct,13,61.35203
14,01,right,m07,Correct,14,59.99926
15,01,right,m07,Correct,15,57.59211
16,01,right,m07,Correct,16,52.02606
17,01,right,m07,Correct,17,45.3833
18,01,right,m07,Correct,18,37.37391
19,01,right,m07,Correct,19,30.30392
20,01,right,m07,Correct,20,18.51239
21,01,right,m07,Correct,21,7.75574
22,01,right,m07,Correct,22,6.36064
23,01,right,m07,Correct,23,-6.75648
24,01,right,m07,Correct,24,-9.13244
25,01,right,m07,Correct,25,-19.10655
26,01,right,m07,Correct,26,-22.01888
27,01,right,m07,Correct,27,-25.71302
28,01,right,m07,Correct,28,-31.35656
29,01,right,m07,Correct,29,-37.47805
30,01,right,m07,Correct,30,-39.94883
31,01,right,m07,Correct,31,-45.08369
32,01,right,m07,Correct,32,-46.39164
33,01,right,m07,Correct,33,-46.73747
34,01,right,m07,Correct,34,-48.79073
35,01,right,m07,Correct,35,-48.35798
36,01,right,m07,Correct,36,-51.70473
37,01,right,m07,Correct,37,-51.62218
38,01,right,m07,Correct,38,-52.01537
39,01,right,m07,Correct,39,-51.95636
40,01,right,m07,Correct,40,-52.29544
41,01,right,m07,Correct,41,-52.28366
42,01,right,m07,Correct,42,-52.36946
43,01,right,m07,Correct,43,-50.59641
44,01,right,m07,Correct,44,-46.99386
45,01,right,m07,Correct,45,-46.7375
46,01,right,m07,Correct,46,-45.67501
47,01,right,m07,Correct,47,-35.11733
48,01,right,m07,Correct,48,-27.78477
49,01,right,m07,Correct,49,-20.99917
50,01,right,m07,Correct,50,-16.13359
51,01,right,m07,Correct,51,-7.78167
52,01,right,m07,Correct,52,-1.43573
53,01,right,m07,Correct,53,7.40514
54,01,right,m07,Correct,54,11.40021
55,01,right,m07,Correct,55,11.80133
56,01,right,m07,Correct,56,18.23762
57,01,right,m07,Correct,57,24.61295
58,01,right,m07,Correct,58,28.52726
59,01,right,m07,Correct,59,32.74199
60,01,right,m07,Correct,60,39.2561
61,01,right,m07,Correct,61,45.68648
62,01,right,m07,Correct,62,49.23057
63,01,right,m07,Correct,63,51.90018
64,01,right,m07,Correct,64,52.54296
65,01,right,m07,Correct,65,57.39184
66,01,right,m07,Correct,66,59.58047
67,01,right,m07,Correct,67,61.27855
68,01,right,m07,Correct,68,62.28157
69,01,right,m07,Correct,69,62.83315
70,01,right,m07,Correct,70,62.95958
71,01,right,m07,Correct,71,62.83524
72,01,right,m07,Correct,72,62.42498
73,01,right,m07,Correct,73,60.57062
74,01,right,m07,Correct,74,56.5581
75,01,right,m07,Correct,75,51.42987
76,01,right,m07,Correct,76,47.09261
77,01,right,m07,Correct,77,41.7378
78,01,right,m07,Correct,78,35.94153
79,01,right,m07,Correct,79,29.01242
80,01,right,m07,Correct,80,21.96667
81,01,right,m07,Correct,81,14.17807
82,01,right,m07,Correct,82,7.62654
83,01,right,m07,Correct,83,3.8352
84,01,right,m07,Correct,84,-0.28682
85,01,right,m07,Correct,85,-4.90768
86,01,right,m07,Correct,86,-12.68116
87,01,right,m07,Correct,87,-24.71524
88,01,right,m07,Correct,88,-27.77874
89,01,right,m07,Correct,89,-30.84216
90,01,right,m07,Correct,90,-35.56479
91,01,right,m07,Correct,91,-42.45734
92,01,right,m07,Correct,92,-46.41211
93,01,right,m07,Correct,93,-52.28319
94,01,right,m07,Correct,94,-54.65208
95,01,right,m07,Correct,95,-52.07679
96,01,right,m07,Correct,96,-49.69277
97,01,right,m07,Correct,97,-52.63887
98,01,right,m07,Correct,98,-51.32586
99,01,right,m07,Correct,99,-49.77269
